Date,Benzene,CS2,Ozone,SO2,Toluene,Xylene,Wind Direction,Wind Speed,North,South,East,West
2015-08-01 00:00:00,2.5,2.5,16.35,2.5,2.5,2.5,206.0,8.0,0.0,0.75,0.0,0.25
2015-08-01 00:05:00,2.5,2.5,19.0,2.5,2.5,2.5,206.0,8.0,0.0,0.75,0.0,0.25
2015-08-01 00:10:00,2.5,2.5,20.69,2.5,2.5,2.5,214.0,8.0,0.0,0.75,0.0,0.25
2015-08-01 00:15:00,2.5,2.5,20.13,2.5,2.5,2.5,219.0,9.0,0.0,0.5,0.0,0.5
2015-08-01 00:20:00,2.5,2.5,20.22,2.5,2.5,2.5,219.0,11.0,0.0,0.5,0.0,0.5
2015-08-01 00:25:00,2.5,2.5,18.28,2.5,2.5,2.5,225.0,8.0,0.0,0.5,0.0,0.5
2015-08-01 00:30:00,2.5,2.5,20.25,2.5,2.5,2.5,212.0,7.0,0.0,0.75,0.0,0.25
2015-08-01 00:35:00,2.5,2.5,20.74,2.5,2.5,2.5,223.0,9.0,0.0,0.5,0.0,0.5
2015-08-01 00:40:00,2.5,2.5,20.12,2.5,2.5,2.5,224.0,9.0,0.0,0.5,0.0,0.5
2015-08-01 00:45:00,2.5,2.5,18.61,2.5,2.5,2.5,216.0,10.0,0.0,0.5,0.0,0.5
2015-08-01 00:50:00,2.5,2.5,19.59,2.5,2.5,2.5,220.0,9.0,0.0,0.5,0.0,0.5
2015-08-01 00:55:00,2.5,2.5,20.22,2.5,2.5,2.5,216.0,9.0,0.0,0.5,0.0,0.5
2015-08-01 01:00:00,2.5,2.5,21.16,2.5,2.5,2.5,223.0,7.0,0.0,0.5,0.0,0.5
2015-08-01 01:05:00,2.5,2.5,19.28,2.5,2.5,2.5,210.0,7.0,0.0,0.75,0.0,0.25
2015-08-01 01:10:00,2.5,2.5,20.74,2.5,2.5,2.5,206.0,6.0,0.0,0.75,0.0,0.25
2015-08-01 01:15:00,2.5,2.5,19.28,2.5,2.5,2.5,195.0,6.0,0.0,0.75,0.0,0.25
2015-08-01 01:20:00,2.5,2.5,18.65,2.5,2.5,2.5,207.0,7.0,0.0,0.75,0.0,0.25
2015-08-01 01:25:00,2.5,2.5,18.11,2.5,2.5,2.5,219.0,8.0,0.0,0.5,0.0,0.5
2015-08-01 01:30:00,2.5,2.5,18.44,2.5,2.5,2.5,207.0,7.0,0.0,0.75,0.0,0.25
2015-08-01 01:35:00,2.5,2.5,19.88,2.5,2.5,2.5,207.0,7.0,0.0,0.75,0.0,0.25
2015-08-01 01:40:00,2.5,2.5,19.42,2.5,2.5,2.5,208.0,8.0,0.0,0.75,0.0,0.25
2015-08-01 01:45:00,2.5,2.5,19.68,2.5,2.5,2.5,213.0,7.0,0.0,0.75,0.0,0.25
2015-08-01 01:50:00,2.5,2.5,18.89,2.5,2.5,2.5,199.0,8.0,0.0,0.75,0.0,0.25
2015-08-01 01:55:00,2.5,2.5,17.46,2.5,2.5,2.5,198.0,6.0,0.0,0.75,0.0,0.25
2015-08-01 02:00:00,2.5,2.5,19.47,2.5,2.5,2.5,198.0,7.0,0.0,0.75,0.0,0.25
2015-08-01 02:05:00,2.5,2.5,18.31,2.5,2.5,2.5,222.0,8.0,0.0,0.5,0.0,0.5
2015-08-01 02:10:00,2.5,2.5,20.38,2.5,2.5,2.5,226.0,9.0,0.0,0.5,0.0,0.5
2015-08-01 02:15:00,2.5,2.5,19.05,2.5,2.5,2.5,212.0,8.0,0.0,0.75,0.0,0.25
2015-08-01 02:20:00,2.5,2.5,18.86,2.5,2.5,2.5,207.0,8.0,0.0,0.75,0.0,0.25
2015-08-01 02:25:00,2.5,2.5,19.07,2.5,2.5,2.5,212.0,8.0,0.0,0.75,0.0,0.25
2015-08-01 02:30:00,2.5,2.5,18.53,2.5,2.5,2.5,204.0,9.0,0.0,0.75,0.0,0.25
2015-08-01 02:35:00,2.5,2.5,19.83,2.5,2.5,2.5,200.0,6.0,0.0,0.75,0.0,0.25
2015-08-01 02:40:00,2.5,2.5,20.26,2.5,2.5,2.5,202.0,8.0,0.0,0.75,0.0,0.25
2015-08-01 02:45:00,2.5,2.5,19.88,2.5,2.5,2.5,206.0,8.0,0.0,0.75,0.0,0.25
2015-08-01 02:50:00,2.5,2.5,20.44,2.5,2.5,2.5,203.0,8.0,0.0,0.75,0.0,0.25
